StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,16.152622826049942,
2,1,1,16.152622826049942,23.899423738179056,
3,1,2,23.899423738179056,30.116666666666667,
4,1,3,30.116666666666667,36.333909595154275,
5,1,4,36.333909595154275,44.08071050728339,
6,1,5,44.08071050728339,inf,
7,2,0,-inf,inf,
8,3,0,-inf,inf,
9,4,0,-inf,20.88088624626853,
10,4,1,20.88088624626853,23.720805366355464,
11,4,2,23.720805366355464,26.0,
12,4,3,26.0,28.279194633644533,
13,4,4,28.279194633644533,31.11911375373147,
14,4,5,31.11911375373147,inf,
15,5,0,-inf,inf,
16,6,0,-inf,28.35241746044484,
17,6,1,28.35241746044484,36.97580155080278,
18,6,2,36.97580155080278,43.89655172413793,
19,6,3,43.89655172413793,50.81730189747308,
20,6,4,50.81730189747308,59.44068598783102,
21,6,5,59.44068598783102,inf,
22,39,0,-inf,6.399287317428015,
23,39,1,6.399287317428015,7.098979475371099,
24,39,2,7.098979475371099,7.660521739130435,
25,39,3,7.660521739130435,8.222064002889772,
26,39,4,8.222064002889772,8.921756160832857,
27,39,5,8.921756160832857,inf,
28,40,0,-inf,76.71816617594837,
29,40,1,76.71816617594837,82.61396735462975,
30,40,2,82.61396735462975,87.34567901234568,
31,40,3,87.34567901234568,92.07739067006162,
32,40,4,92.07739067006162,97.973191848743,
33,40,5,97.973191848743,inf,
34,41,0,-inf,144.22572077871067,
35,41,1,144.22572077871067,155.11239215546226,
36,41,2,155.11239215546226,163.8495575221239,
37,41,3,163.8495575221239,172.58672288878552,
38,41,4,172.58672288878552,183.4733942655371,
39,41,5,183.4733942655371,inf,
40,42,0,-inf,142.71572792122092,
41,42,1,142.71572792122092,162.782358326683,
42,42,2,162.782358326683,178.88695652173914,
43,42,3,178.88695652173914,194.99155471679526,
44,42,4,194.99155471679526,215.05818512225736,
45,42,5,215.05818512225736,inf,
46,43,0,-inf,3.9073519337452742,
47,43,1,3.9073519337452742,4.049324414581454,
48,43,2,4.049324414581454,4.163265306122449,
49,43,3,4.163265306122449,4.277206197663444,
50,43,4,4.277206197663444,4.419178678499624,
51,43,5,4.419178678499624,inf,
52,44,0,-inf,0.974177291236616,
53,44,1,0.974177291236616,1.030533604505225,
54,44,2,1.030533604505225,1.0757627118644064,
55,44,3,1.0757627118644064,1.1209918192235877,
56,44,4,1.1209918192235877,1.1773481324921968,
57,44,5,1.1773481324921968,inf,
58,55,0,-inf,-0.18407034965662272,
59,55,1,-0.18407034965662272,0.19542980582601432,
60,55,2,0.19542980582601432,0.5,
61,55,3,0.5,0.8045701941739856,
62,55,4,0.8045701941739856,1.1840703496566227,
63,55,5,1.1840703496566227,inf,
